,name,price,reserve_met,end_date,Distillery,Age,Vintage,Region,Bottler,Cask Type,Bottled Strength,Bottle Size,Distillery Status,details
151756,Highland Park 1973 The Dragon,1200,1.0,2023-10-04,Highland Park,20 year old,1973,Island,S & J D Robertson,N/A,56.4%,75cl,Operational,"Highland Park 1973 DragonA legendary Highland Park, distilled in 1973 and bottled by Robertson of Kirkwall.The 1973 Dragon rarely appears at auction, these Robertson's of Kirkwall bottlings are very highly regarded.The Dragon from which this whisky takes its name comes from the 12th century carving in Maes Howe neolithic tomb, Orkney.Bottled at 20 years old from cask #13313, in a 75clbottle with gold capsule."
324186,Ardbeg 1973 Samaroli / Fragments of Scotland,4178,0.0,2023-10-04,Ardbeg,n/a,1973,Islay,R.W. Duthie for Samaroli,N/A,57%,75cl,Operational,"Ardbeg 1973Samaroli / Fragments of ScotlandYou would not think it to see it now, but Ardbeg had a difficult time of it for much of the 20th century. The distillery was bought in a joint venture between Hiram Walker and DCL in 1959, both intending to supply their blends. The subsequent years were very successful, but DCL backed out in 1979 (closing many of their other distilleries a few years later), and Hiram Walker then struggled in the 1980s era oversupply when interest is blended Scotch was waning. They closed it down for the majority of the decade. It re-opened briefly in the 1990s before being revived for good by Glenmorangie plc in 1997. The lack of demand in the period prior to this, thankfully, saw a lot of casks sold to independent bottlers, many of which have gone on to become legendary releases.Distilled in 1973 and bottled in 1988 by Silvano Samarolias part of the rare Fragments of Scotland series.The rising demand for its product in the 1970s meant that Ardbeg was forced to stop using its own malted barley, instead buying it in from the neighbouring Port Ellen maltings. The result was a change in the style and profile of the distillery's whisky, and pre-1974 vintages such as this are incredibly sought after by connoisseurs and collectors alike.Samaroli is perhaps Italy's most revered independent bottler of Scotch whisky. With an impeccable taste in single cask whiskies, and an eye for aesthetics (if not English spelling at times!), he is regarded by many as a visionary. Many of his bottles now occupy deserved sports on the pantheon of whisky greats.The Fragments of Scotland series was bottled in 1988, and each of them feature artworks depicting different elements of Scotland, all painted by Samaroli'sfriend, Agostino Perrnini. The painting on this particular label belonged to Silvano, and also appears on the Glen Garioch and Glenugiebottlings.Bottle number 289 of only 648."
328852,Kyoto Ki Noh Bi Ex-Karuizawa Cask Dry Gin 15th Edition / DFS Spirits,130,,2023-10-04,Kyoto Distillery,,,Japan,Official,ex-Karuizawa and Mizunara,48%,70cl,Operational,"Kyoto Ki Noh Bi Ex-Karuizawa Cask Dry Gin 15th Edition / DFS SpiritsThis gin is extra special as it was matured in ex-Karuizawa and Mizunara casks, marking the first-ever collaboration between Japanese whisky and Japanese gin.The Kyoto Distillery’s “Ki Noh Bi” Dry Gin is also the first Japanese gin to collaborate with the Noh Theatre, like the legendary Karuizawa distillery did before it. Noh is one of Japan’s traditional performing arts. This particular release also carries theYase Otoko mask which was created in the 17th century.The15th edition of this incredible ginwas released in early 2020 and was bottled exclusively for luxury travel retailerThe DFS Group who were established in Hong Kong in 1960.One of 800bottles."
328853,Kyoto Ki Noh Bi Ex-Karuizawa Cask Dry Gin 15th Edition / DFS Spirits,131,,2023-10-04,Kyoto Distillery,,,Japan,Official,ex-Karuizawa and Mizunara,48%,70cl,Operational,"Kyoto Ki Noh Bi Ex-Karuizawa Cask Dry Gin 15th Edition / DFS SpiritsThis gin is extra special as it was matured in ex-Karuizawa and Mizunara casks, marking the first-ever collaboration between Japanese whisky and Japanese gin.The Kyoto Distillery’s “Ki Noh Bi” Dry Gin is also the first Japanese gin to collaborate with the Noh Theatre, like the legendary Karuizawa distillery did before it. Noh is one of Japan’s traditional performing arts. This particular release also carries theYase Otoko mask which was created in the 17th century.The15th edition of this incredible ginwas released in early 2020 and was bottled exclusively for luxury travel retailerThe DFS Group who were established in Hong Kong in 1960.One of 800bottles."
328854,Kyoto Ki Noh Bi Ex-Karuizawa Cask Dry Gin 15th Edition / DFS Spirits,130,,2023-10-04,Kyoto Distillery,,,Japan,Official,ex-Karuizawa and Mizunara,48%,70cl,Operational,"Kyoto Ki Noh Bi Ex-Karuizawa Cask Dry Gin 15th Edition / DFS SpiritsThis gin is extra special as it was matured in ex-Karuizawa and Mizunara casks, marking the first-ever collaboration between Japanese whisky and Japanese gin.The Kyoto Distillery’s “Ki Noh Bi” Dry Gin is also the first Japanese gin to collaborate with the Noh Theatre, like the legendary Karuizawa distillery did before it. Noh is one of Japan’s traditional performing arts. This particular release also carries theYase Otoko mask which was created in the 17th century.The15th edition of this incredible ginwas released in early 2020 and was bottled exclusively for luxury travel retailerThe DFS Group who were established in Hong Kong in 1960.One of 800bottles."
5009962,Macallan Concept Number 2 / Music,180,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,N/A,40%,70cl,Operational,"Macallan Concept Number 2 / MusicIt may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Released at the end of 2019 and createdexclusively for global travel retail, this isthe second of three whiskies that will complete the Concept Series. The second release celebrates Music.The idea for the bottlecame from Macallan Whisky Maker Steve Bremnerwho by day blends whisky and by night mixesmusic as a DJ.""Music has inspired many aspects of my life, both creatively and practically, as has whisky, so the creation of Concept Number 2 allowed me to look at my two passions through a different lens""- SteveBremnerThe whisky itself has been matured inSherry-seasoned casks, and then ex-Bourbon barrels."
5009960,Macallan Concept Number 2 / Music,180,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,N/A,40%,70cl,Operational,"Macallan Concept Number 2 / MusicIt may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Released at the end of 2019 and createdexclusively for global travel retail, this isthe second of three whiskies that will complete the Concept Series. The second release celebrates Music.The idea for the bottlecame from Macallan Whisky Maker Steve Bremnerwho by day blends whisky and by night mixesmusic as a DJ.""Music has inspired many aspects of my life, both creatively and practically, as has whisky, so the creation of Concept Number 2 allowed me to look at my two passions through a different lens""- SteveBremnerThe whisky itself has been matured inSherry-seasoned casks, and then ex-Bourbon barrels."
5010820,Book: Glenfarclas 'An Independent Distillery' by Ian Buxton,30,,2023-10-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"Book: Glenfarclas 'An Independent Distillery' by Ian BuxtonGlenfarclas is considered by many to be one of the finest distilleries in Speyside. Its direct-fired stills produce a heavy single malt that is almost exclusively matured in Jerez sherry casks. The distillery focuses on single malt over blends, and a cool microclimate around the distillery that means that their casks are particularly stingy to the ""angels,"" resulting in an incredible depth of stock. Glenfarclas also feel they share some credit for the modern day love of cask strength whisky, introducing their acclaimed 105 proof expressions back in 1968.""Glenfarclas: An Independent Distillery"" by Ian Buxton is a book chronicling the distillery'shistory from illicit still to celebrating its 175th anniversary."
5020880,Port Ellen 1979 Casks of Distinction 40 Year Old #1883,8059,0.0,2023-10-04,Port Ellen,40 Year Old,1979,Islay,official,hogshead,44.4%,70cl,Closed,"Port Ellen 1979 Casks of Distinction 40 Year Old #1883Arguably therarest official single cask Port Ellen bottled to date, with just 78 bottles. This is an exceptional Islay whisky which has beenmatured insinglehogshead #1883 for over 40 years, making this one of the oldest Port Ellenever bottled.Port Ellen is the lost jewel in the Islay crown, closed down by DCL (now Diageo) in 1983 due to an oversupply of peated whisky for blending and a perceived lack of interest in it as a single malt. It has developed a legendary status in the years since. A very rare 12 year old bottled for attendees of the visit of Queen Elizabeth II in 1980 is believed to have been the only distillery bottling produced in its years of operation. Diageo then bottled the first publicly available distillery bottlings as part of the Rare Malts Selection, followed by a series of annual special releases.Diageo's Casks of Distinction is the private sale of individual casks of rare and exceptional Single Malt Scotch Whisky from their extensive stocks in Scotland. Hand-selected by a team of whisky experts under guidance from Master Blender Dr. Craig Wilson, each cask is entirely unique and incredibly rare. Each Cask of Distinction is chosen on the basis of their quality, representing the most exceptional and singular expression of the distillery’s character.This particular bottling is the first officialPort Ellen bottling to be signed by the new Port Ellen distillery manager Georgie Crawford, making this the first ever link between the old silent distillery and the new distillery.Bottledon 26th September2019, this is bottlenumber 59of just 78."
5037348,Armagnac Laubade 1918,490,,2023-10-04,Laubade,N/A,1918,Armagnac,Official,N/A,40%,50cl,Operational,"Armagnac Laubade 1918Château de Laubade was founded in 1870 in the heart of Gascony, the original home of distillation in France, and has been owned by the Lesgourgues family since 1974.Distilled way back in 1918."
