,name,price,reserve_met,end_date,Distillery,Age,Vintage,Region,Bottler,Cask Type,Bottled Strength,Bottle Size,Distillery Status,details
7003772,Pappy Van Winkle 15 Year Old Family Reserve 2022,1150,0.0,2023-10-04,Buffalo Trace,15 Year Old,N/A,Kentucky,Official,N/A,53.5% 107 Proof,75cl,Operational,"Pappy Van Winkle 15 Year Old Family Reserve 2022The Old Rip Van Winkle brand was a pre-prohibition bourbon label, revived by the Van Winkle family after they were forced to sell their Stitzel-Weller distillery by its board of directors. New owners, Somerset Imports, granted Julian Van Winkle II (son of the famous 'Pappy') the continued use of an office at the distillery, and first option on purchasing casks to bottle his new brand with. When he died and the business passed to his son, Julian III, this courtesy was no longer extended, and he moved bottling to the old Hoffman distillery in Lawrenceburg in 1983, renaming it Old Commonwealth. He was still able to buy Stitzel-Weller stock though, and introduced the famous Pappy Van Winkle range in homage to his grandfather, using well-aged barrels from the distillery the now-legendary figure once so lovingly ran. When Stitzel-Weller was closed down by United Distillers in 1992, it was only a matter of time before stock would run out. This necessitated a partnership between Julian Van Winkle III and Buffalo Trace distillery in 2002, seeing all bottling move there, initially using the remaining Stitzel-Weller barrels, with these eventually replaced by Buffalo Trace distilled stock. The product from all eras is revered, and the brand is considered to be the first premium bourbon line to have been produced in the US.The teenager of this family of world-renowned American whiskies, now in incredibly high demand! Pappy Van Winkle Family Reserve 15 year old replaced the Old Rip Van Winkle of the same age in 2004.A historic distillery, Buffalo Trace was built in 1812 Harrison Blanton. It was then purchased by the legendary Edmund Haynes Taylor Jr in 1870, who named it OFC (Old Fashioned Copper) and invested heavily in its modernisation. So much so in fact that he declared himself bankrupt after just seven years, and George T. Stagg stepped in to rescue it, becoming its owner in 1878. He ran the distillery until his retirement in the 1890s, and it was renamed in his honour in 1904. Having survived Prohibition, it was bought up by the Schenley company in 1933, who ran it as part of their extensive portfolio for the next fifty years, eventually selling it to Age International. The latter's new Japanese ownership in 1992 had no interest in it (only in its brands), and immediately sold it to the Sazerac company, who renamed it Buffalo Trace in 1999.Bottle laser code: L222380121:38D"
7000862,Pappy Van Winkle 15 Year Old Family Reserve 2020,1410,0.0,2023-06-03,Buffalo Trace,15 Year Old,,Kentucky,Official,,53.5% 107 Proof,75cl,Operational,"Pappy Van Winkle 15 Year Old Family Reserve 2020The Old Rip Van Winkle brand was a pre-prohibition bourbon label, revived by the Van Winkle family after they were forced to sell their Stitzel-Weller distillery by its board of directors. New owners, Somerset Imports, granted Julian Van Winkle II (son of the famous 'Pappy') the continued use of an office at the distillery, and first option on purchasing casks to bottle his new brand with. When he died and the business passed to his son, Julian III, this courtesy was no longer extended, and he moved bottling to the old Hoffman distillery in Lawrenceburg in 1983, renaming it Old Commonwealth. He was still able to buy Stitzel-Weller stock though, and introduced the famous Pappy Van Winkle range in homage to his grandfather, using well-aged barrels from the distillery the now-legendary figure once so lovingly ran. When Stitzel-Weller was closed down by United Distillers in 1992, it was only a matter of time before stock would run out. This necessitated a partnership between Julian Van Winkle III and Buffalo Trace distillery in 2002, seeing all bottling move there, initially using the remaining Stitzel-Weller barrels, with these eventually replaced by Buffalo Trace distilled stock. The product from all eras is revered, and the brand is considered to be the first premium bourbon line to have been produced in the US.The teenager of this family of world-renowned American whiskies, now in incredibly high demand! Pappy Van Winkle Family Reserve 15 year old replaced the Old Rip Van Winkle of the same age in 2004.A historic distillery, Buffalo Trace was built in 1812 Harrison Blanton. It was then purchased by the legendary Edmund Haynes Taylor Jr in 1870, who named it OFC (Old Fashioned Copper) and invested heavily in its modernisation. So much so in fact that he declared himself bankrupt after just seven years, and George T. Stagg stepped in to rescue it, becoming its owner in 1878. He ran the distillery until his retirement in the 1890s, and it was renamed in his honour in 1904. Having survived Prohibition, it was bought up by the Schenley company in 1933, who ran it as part of their extensive portfolio for the next fifty years, eventually selling it to Age International. The latter's new Japanese ownership in 1992 had no interest in it (only in its brands), and immediately sold it to the Sazerac company, who renamed it Buffalo Trace in 1999.Glass Laser-Code: L202610123:16D"
5117369,Pappy Van Winkle 15 Year Old Family Reserve,1350,0.0,2023-06-03,Buffalo Trace,15 Year Old,,Kentucky,Official,,53.5% 107 Proof,75cl,Operational,"Pappy Van Winkle 15 Year Old Family ReserveThe Old Rip Van Winkle brand was a pre-prohibition bourbon label, revived by the Van Winkle family after they were forced to sell their Stitzel-Weller distillery by its board of directors. New owners, Somerset Imports, granted Julian Van Winkle II (son of the famous 'Pappy') the continued use of an office at the distillery, and first option on purchasing casks to bottle his new brand with. When he died and the business passed to his son, Julian III, this courtesy was no longer extended, and he moved bottling to the old Hoffman distillery in Lawrenceburg in 1983, renaming it Old Commonwealth. He was still able to buy Stitzel-Weller stock though, and introduced the famous Pappy Van Winkle range in homage to his grandfather, using well-aged barrels from the distillery the now-legendary figure once so lovingly ran. When Stitzel-Weller was closed down by United Distillers in 1992, it was only a matter of time before stock would run out. This necessitated a partnership between Julian Van Winkle III and Buffalo Trace distillery in 2002, seeing all bottling move there, initially using the remaining Stitzel-Weller barrels, with these eventually replaced by Buffalo Trace distilled stock. The product from all eras is revered, and the brand is considered to be the first premium bourbon line to have been produced in the US.The teenager of this family of world-renowned American whiskies, now in incredibly high demand! Pappy Van Winkle Family Reserve 15 year old replaced the Old Rip Van Winkle of the same age in 2004.A historic distillery, Buffalo Trace was built in 1812 Harrison Blanton. It was then purchased by the legendary Edmund Haynes Taylor Jr in 1870, who named it OFC (Old Fashioned Copper) and invested heavily in its modernisation. So much so in fact that he declared himself bankrupt after just seven years, and George T. Stagg stepped in to rescue it, becoming its owner in 1878. He ran the distillery until his retirement in the 1890s, and it was renamed in his honour in 1904. Having survived Prohibition, it was bought up by the Schenley company in 1933, who ran it as part of their extensive portfolio for the next fifty years, eventually selling it to Age International. The latter's new Japanese ownership in 1992 had no interest in it (only in its brands), and immediately sold it to the Sazerac company, who renamed it Buffalo Trace in 1999.NOTE: The glass laser-code is too damaged to read therefore the release year of this bottle is undetermined."
7003892,Pappy Van Winkle 20 Year Old Family Reserve 2022,2100,,2023-10-04,Buffalo Trace,20 Year Old,N/A,"Kentucky, USA",Official,N/A,90.4 us Proof / 45.2%,75cl,Operational,"Pappy Van Winkle 20 Year Old Family Reserve 2022The Old Rip Van Winkle brand was a pre-prohibition bourbon label, revived by the Van Winkle family after they were forced to sell their Stitzel-Weller distillery by its board of directors. New owners, Somerset Imports, granted Julian Van Winkle II (son of the famous 'Pappy') the continued use of an office at the distillery, and first option on purchasing casks to bottle his new brand with. When he died and the business passed to his son, Julian III, this courtesy was no longer extended, and he moved bottling to the old Hoffman distillery in Lawrenceburg in 1983, renaming it Old Commonwealth. He was still able to buy Stitzel-Weller stock though, and introduced the famous Pappy Van Winkle range in homage to his grandfather, using well-aged barrels from the distillery the now-legendary figure once so lovingly ran. When Stitzel-Weller was closed down by United Distillers in 1992, it was only a matter of time before stock would run out. This necessitated a partnership between Julian Van Winkle III and Buffalo Trace distillery in 2002, seeing all bottling move there, initially using the remaining Stitzel-Weller barrels, with these eventually replaced by Buffalo Trace distilled stock. The product from all eras is revered, and the brand is considered to be the first premium bourbon line to have been produced in the US.The 20 year old has become quite legendary, particularly after the theft of 65 three-bottle cases in 2013. It is also the expression which first brought the Van Winkle brand to prominence after being awarded an unprecedented score of 99 at the Beverage Testing Institute in 1996.Now incredibly hard to find and even harder to buy from any retailer.This bottle is the 2022release.A historic distillery, Buffalo Trace was built in 1812 Harrison Blanton. It was then purchased by the legendary Edmund Haynes Taylor Jr in 1870, who named it OFC (Old Fashioned Copper) and invested heavily in its modernisation. So much so in fact that he declared himself bankrupt after just seven years, and George T. Stagg stepped in to rescue it, becoming its owner in 1878. He ran the distillery until his retirement in the 1890s, and it was renamed in his honour in 1904. Having survived Prohibition, it was bought up by the Schenley company in 1933, who ran it as part of their extensive portfolio for the next fifty years, eventually selling it to Age International. The latter's new Japanese ownership in 1992 had no interest in it (only in its brands), and immediately sold it to the Sazerac company, who renamed it Buffalo Trace in 1999.Bottle laser code: L2223310107:29M"
7003895,Pappy Van Winkle 15 Year Old Family Reserve 2022,1156,,2023-10-04,Buffalo Trace,15 Year Old,N/A,Kentucky,Official,N/A,53.5% 107 Proof,75cl,Operational,"Pappy Van Winkle 15 Year Old Family Reserve 2022The Old Rip Van Winkle brand was a pre-prohibition bourbon label, revived by the Van Winkle family after they were forced to sell their Stitzel-Weller distillery by its board of directors. New owners, Somerset Imports, granted Julian Van Winkle II (son of the famous 'Pappy') the continued use of an office at the distillery, and first option on purchasing casks to bottle his new brand with. When he died and the business passed to his son, Julian III, this courtesy was no longer extended, and he moved bottling to the old Hoffman distillery in Lawrenceburg in 1983, renaming it Old Commonwealth. He was still able to buy Stitzel-Weller stock though, and introduced the famous Pappy Van Winkle range in homage to his grandfather, using well-aged barrels from the distillery the now-legendary figure once so lovingly ran. When Stitzel-Weller was closed down by United Distillers in 1992, it was only a matter of time before stock would run out. This necessitated a partnership between Julian Van Winkle III and Buffalo Trace distillery in 2002, seeing all bottling move there, initially using the remaining Stitzel-Weller barrels, with these eventually replaced by Buffalo Trace distilled stock. The product from all eras is revered, and the brand is considered to be the first premium bourbon line to have been produced in the US.The teenager of this family of world-renowned American whiskies, now in incredibly high demand! Pappy Van Winkle Family Reserve 15 year old replaced the Old Rip Van Winkle of the same age in 2004.A historic distillery, Buffalo Trace was built in 1812 Harrison Blanton. It was then purchased by the legendary Edmund Haynes Taylor Jr in 1870, who named it OFC (Old Fashioned Copper) and invested heavily in its modernisation. So much so in fact that he declared himself bankrupt after just seven years, and George T. Stagg stepped in to rescue it, becoming its owner in 1878. He ran the distillery until his retirement in the 1890s, and it was renamed in his honour in 1904. Having survived Prohibition, it was bought up by the Schenley company in 1933, who ran it as part of their extensive portfolio for the next fifty years, eventually selling it to Age International. The latter's new Japanese ownership in 1992 had no interest in it (only in its brands), and immediately sold it to the Sazerac company, who renamed it Buffalo Trace in 1999.Bottle laser code: L222380121:41D"
5130622,Pappy Van Winkle 15 Year Old Family Reserve 70cl 2011,1550,1.0,2023-10-04,Buffalo Trace,15 Year Old,,"Kentucky, USA",Official,Virgin American Oak,107 US Proof / 53.5%,70cl,Operational,"Pappy Van Winkle 15 Year Old Family Reserve 70cl 2011The Old Rip Van Winkle brand was a pre-prohibition bourbon label, revived by the Van Winkle family after they were forced to sell their Stitzel-Weller distillery by its board of directors. New owners, Somerset Imports, granted Julian Van Winkle II (sonof the famous 'Pappy') the continued use of an office at the distillery, and first option on purchasing casks to bottle his new brand with. When he died and the business passed to his son, Julian III, this courtesy was no longer extended, and he moved bottling to the old Hoffman distillery in Lawrenceburg in 1983, renaming it Old Commonwealth. He was still able to buy Stitzel-Weller stock though, and introduced the famous Pappy Van Winkle range in homage to his grandfather, using well-aged barrels from the distillery the now-legendary figure once so lovingly ran. When Stitzel-Weller was closed down by United Distillers in 1992, it was only a matter of time before stock would run out.This necessitated a partnership between Julian Van Winkle III and Buffalo Trace distillery in 2002, seeing all bottling move there, initially using the remaining Stitzel-Weller barrels, with these eventually replaced by Buffalo Trace distilled stock. The product from all eras is revered, and the brand is considered to be the first premium bourbon line to have been produced in the US.The teenager of this family of world-renowned American whiskies, now in incredibly high demand! Pappy Van Winkle Family Reserve 15 year old replaced the Old Rip Van Winkle of the same age in 2004.A historic distillery, Buffalo Trace was built in 1812 Harrison Blanton. It was then purchased by the legendary Edmund Haynes Taylor Jr in 1870, who named it OFC (Old Fashioned Copper) and invested heavily in its modernisation. So much so in fact that he declared himself bankrupt after just seven years, and George T. Stagg stepped in to rescue it, becoming its owner in 1878. He ran the distillery until his retirement in the 1890s, and it was renamed in his honour in 1904. Having survived Prohibition, it was bought up by the Schenley company in 1933, who ran it as part of their extensive portfolio for the next fifty years, eventually selling it to Age International. The latter's new Japanese ownership in 1992 had no interest in it (only in its brands), and immediately sold it to the Sazerac company, who renamed it Buffalo Trace in 1999.Bottle Laser-Code: K2971113:43"
5130616,Pappy Van Winkle 15 Year Old Family Reserve 2022,1201,,2023-10-04,Buffalo Trace,15 Year Old,N/A,Kentucky,Official,N/A,53.5% 107 Proof,75cl,Operational,"Pappy Van Winkle 15 Year Old Family Reserve 2022The Old Rip Van Winkle brand was a pre-prohibition bourbon label, revived by the Van Winkle family after they were forced to sell their Stitzel-Weller distillery by its board of directors. New owners, Somerset Imports, granted Julian Van Winkle II (son of the famous 'Pappy') the continued use of an office at the distillery, and first option on purchasing casks to bottle his new brand with. When he died and the business passed to his son, Julian III, this courtesy was no longer extended, and he moved bottling to the old Hoffman distillery in Lawrenceburg in 1983, renaming it Old Commonwealth. He was still able to buy Stitzel-Weller stock though, and introduced the famous Pappy Van Winkle range in homage to his grandfather, using well-aged barrels from the distillery the now-legendary figure once so lovingly ran. When Stitzel-Weller was closed down by United Distillers in 1992, it was only a matter of time before stock would run out. This necessitated a partnership between Julian Van Winkle III and Buffalo Trace distillery in 2002, seeing all bottling move there, initially using the remaining Stitzel-Weller barrels, with these eventually replaced by Buffalo Trace distilled stock. The product from all eras is revered, and the brand is considered to be the first premium bourbon line to have been produced in the US.The teenager of this family of world-renowned American whiskies, now in incredibly high demand! Pappy Van Winkle Family Reserve 15 year old replaced the Old Rip Van Winkle of the same age in 2004.A historic distillery, Buffalo Trace was built in 1812 Harrison Blanton. It was then purchased by the legendary Edmund Haynes Taylor Jr in 1870, who named it OFC (Old Fashioned Copper) and invested heavily in its modernisation. So much so in fact that he declared himself bankrupt after just seven years, and George T. Stagg stepped in to rescue it, becoming its owner in 1878. He ran the distillery until his retirement in the 1890s, and it was renamed in his honour in 1904. Having survived Prohibition, it was bought up by the Schenley company in 1933, who ran it as part of their extensive portfolio for the next fifty years, eventually selling it to Age International. The latter's new Japanese ownership in 1992 had no interest in it (only in its brands), and immediately sold it to the Sazerac company, who renamed it Buffalo Trace in 1999.Bottle laser code: L222380121:41D"
5131044,Pappy Van Winkle 20 Year Old Family Reserve 2022,2100,1.0,2023-10-04,Buffalo Trace,20 Year Old,N/A,"Kentucky, USA",Official,N/A,90.4 us Proof / 45.2%,75cl,Operational,"Pappy Van Winkle 20 Year Old Family Reserve 2022The Old Rip Van Winkle brand was a pre-prohibition bourbon label, revived by the Van Winkle family after they were forced to sell their Stitzel-Weller distillery by its board of directors. New owners, Somerset Imports, granted Julian Van Winkle II (son of the famous 'Pappy') the continued use of an office at the distillery, and first option on purchasing casks to bottle his new brand with. When he died and the business passed to his son, Julian III, this courtesy was no longer extended, and he moved bottling to the old Hoffman distillery in Lawrenceburg in 1983, renaming it Old Commonwealth. He was still able to buy Stitzel-Weller stock though, and introduced the famous Pappy Van Winkle range in homage to his grandfather, using well-aged barrels from the distillery the now-legendary figure once so lovingly ran. When Stitzel-Weller was closed down by United Distillers in 1992, it was only a matter of time before stock would run out. This necessitated a partnership between Julian Van Winkle III and Buffalo Trace distillery in 2002, seeing all bottling move there, initially using the remaining Stitzel-Weller barrels, with these eventually replaced by Buffalo Trace distilled stock. The product from all eras is revered, and the brand is considered to be the first premium bourbon line to have been produced in the US.The 20 year old has become quite legendary, particularly after the theft of 65 three-bottle cases in 2013. It is also the expression which first brought the Van Winkle brand to prominence after being awarded an unprecedented score of 99 at the Beverage Testing Institute in 1996.Now incredibly hard to find and even harder to buy from any retailer.This bottle is the 2022release.A historic distillery, Buffalo Trace was built in 1812 Harrison Blanton. It was then purchased by the legendary Edmund Haynes Taylor Jr in 1870, who named it OFC (Old Fashioned Copper) and invested heavily in its modernisation. So much so in fact that he declared himself bankrupt after just seven years, and George T. Stagg stepped in to rescue it, becoming its owner in 1878. He ran the distillery until his retirement in the 1890s, and it was renamed in his honour in 1904. Having survived Prohibition, it was bought up by the Schenley company in 1933, who ran it as part of their extensive portfolio for the next fifty years, eventually selling it to Age International. The latter's new Japanese ownership in 1992 had no interest in it (only in its brands), and immediately sold it to the Sazerac company, who renamed it Buffalo Trace in 1999.Bottle laser code: L222310107:rest obscuredby sticker."
5131031,Pappy Van Winkle 15 Year Old Family Reserve 2022,1200,1.0,2023-10-04,Buffalo Trace,15 Year Old,N/A,Kentucky,Official,N/A,53.5% 107 Proof,75cl,Operational,"Pappy Van Winkle 15 Year Old Family Reserve 2022The Old Rip Van Winkle brand was a pre-prohibition bourbon label, revived by the Van Winkle family after they were forced to sell their Stitzel-Weller distillery by its board of directors. New owners, Somerset Imports, granted Julian Van Winkle II (son of the famous 'Pappy') the continued use of an office at the distillery, and first option on purchasing casks to bottle his new brand with. When he died and the business passed to his son, Julian III, this courtesy was no longer extended, and he moved bottling to the old Hoffman distillery in Lawrenceburg in 1983, renaming it Old Commonwealth. He was still able to buy Stitzel-Weller stock though, and introduced the famous Pappy Van Winkle range in homage to his grandfather, using well-aged barrels from the distillery the now-legendary figure once so lovingly ran. When Stitzel-Weller was closed down by United Distillers in 1992, it was only a matter of time before stock would run out. This necessitated a partnership between Julian Van Winkle III and Buffalo Trace distillery in 2002, seeing all bottling move there, initially using the remaining Stitzel-Weller barrels, with these eventually replaced by Buffalo Trace distilled stock. The product from all eras is revered, and the brand is considered to be the first premium bourbon line to have been produced in the US.The teenager of this family of world-renowned American whiskies, now in incredibly high demand! Pappy Van Winkle Family Reserve 15 year old replaced the Old Rip Van Winkle of the same age in 2004.A historic distillery, Buffalo Trace was built in 1812 Harrison Blanton. It was then purchased by the legendary Edmund Haynes Taylor Jr in 1870, who named it OFC (Old Fashioned Copper) and invested heavily in its modernisation. So much so in fact that he declared himself bankrupt after just seven years, and George T. Stagg stepped in to rescue it, becoming its owner in 1878. He ran the distillery until his retirement in the 1890s, and it was renamed in his honour in 1904. Having survived Prohibition, it was bought up by the Schenley company in 1933, who ran it as part of their extensive portfolio for the next fifty years, eventually selling it to Age International. The latter's new Japanese ownership in 1992 had no interest in it (only in its brands), and immediately sold it to the Sazerac company, who renamed it Buffalo Trace in 1999.Bottle laser code: L222380121:38D"
7003070,Pappy Van Winkle 15 Year Old Family Reserve 2021,1160,,2023-10-04,Buffalo Trace,15 Year Old,N/A,Kentucky,Official,N/A,53.5% 107 Proof,75cl,Operational,"Pappy Van Winkle 15 Year Old Family Reserve 2021The Old Rip Van Winkle brand was a pre-prohibition bourbon label, revived by the Van Winkle family after they were forced to sell their Stitzel-Weller distillery by its board of directors. New owners, Somerset Imports, granted Julian Van Winkle II (son of the famous 'Pappy') the continued use of an office at the distillery, and first option on purchasing casks to bottle his new brand with. When he died and the business passed to his son, Julian III, this courtesy was no longer extended, and he moved bottling to the old Hoffman distillery in Lawrenceburg in 1983, renaming it Old Commonwealth. He was still able to buy Stitzel-Weller stock though, and introduced the famous Pappy Van Winkle range in homage to his grandfather, using well-aged barrels from the distillery the now-legendary figure once so lovingly ran. When Stitzel-Weller was closed down by United Distillers in 1992, it was only a matter of time before stock would run out. This necessitated a partnership between Julian Van Winkle III and Buffalo Trace distillery in 2002, seeing all bottling move there, initially using the remaining Stitzel-Weller barrels, with these eventually replaced by Buffalo Trace distilled stock. The product from all eras is revered, and the brand is considered to be the first premium bourbon line to have been produced in the US.The teenager of this family of world-renowned American whiskies, now in incredibly high demand! Pappy Van Winkle Family Reserve 15 year old replaced the Old Rip Van Winkle of the same age in 2004.A historic distillery, Buffalo Trace was built in 1812 Harrison Blanton. It was then purchased by the legendary Edmund Haynes Taylor Jr in 1870, who named it OFC (Old Fashioned Copper) and invested heavily in its modernisation. So much so in fact that he declared himself bankrupt after just seven years, and George T. Stagg stepped in to rescue it, becoming its owner in 1878. He ran the distillery until his retirement in the 1890s, and it was renamed in his honour in 1904. Having survived Prohibition, it was bought up by the Schenley company in 1933, who ran it as part of their extensive portfolio for the next fifty years, eventually selling it to Age International. The latter's new Japanese ownership in 1992 had no interest in it (only in its brands), and immediately sold it to the Sazerac company, who renamed it Buffalo Trace in 1999.Bottle laser code: L21196011721D"
