,name,price,end_date,Distillery,Age,Region,Bottler,Bottled Strength,Bottle Size,Distillery Status,details,Vintage,Cask Type,reserve_met
6182043,Caol Ila 25 Year Old,160,2023-10-04,Caol Ila,25 Year Old,Islay,Official,43%,70cl,Operational,"Caol Ila 25 Year OldCaol Ila distillery was built in 1846 by Hector Henderson, who was bought out from the venture a little over 10 year later by Bulloch Lade. The blending firm merged with DCL (now Diageo) in 1927, who still run the distillery today. In 1972 the original site was demolished and replaced by a new one. When distilling resumed in 1974, Caol Ila was the largest producer of single malt on the Isle of Islay. Despite this, due to its importance in popular blends such as Johnnie Walker, its single malt brand disappeared under United Distillers, and it was not until 2002 that it would return, when the 12 year old was revived by Diageo.This 25 year old was added to the core range in 2010 following the success of the cask strength limited editions in 2004 and 2005.",,,
6182044,Midleton Very Rare 2022 Edition,210,2023-10-04,Midleton,See Lot Description,Ireland,Official,40%,70cl,Operational,"Midleton Very Rare 2022 EditionThe formation of the Irish Distillers group in 1966, an amalgamation of Jameson, Powers and Cork Distillers, was the beginning of a sea change in the landscape of Irish whiskey. Necessitated primarily by a need to capitalise on a much-expanded export market, the move also saw a change in the whiskey behind the brand names, favouring blended Irish whiskies over the traditional single pot still style. Irish Distillers pushed Jameson as the face of the company, but its historic Bow Street home had no column still to produce grain, meaning this component had to be produced at Power's John's Lane distillery. In order to steamline its operations, the company shut both of these distilleries down, building a bespoke new facility next-door to its Old Midleton distillery in Cork, which was closed down as well. Midleton opened in 1975 and was the only distillery in Ireland until Cooley was built in 1987.Taking its name from the new distillery, this famous blend of whiskies was initially produced by Jameson's Master Distiller, Barry Crockett, and has been released in very limited quantities on an annual basis since 1984.The whiskey is aged somewhere between 12 and 20 years and matured solely in Bourbon casks. Each bottle is individually numbered and carries the signature of the Master Distiller.",,Bourbon Casks,
6182045,Yuza First Edition 2022,115,2023-10-04,Yuza,,Japan,Official,61%,70cl,Operational,"Yuza First Edition 2022This is the first release from Japan'sYuza distillery which stands at the foot of mount Chokai. This inaugural release has been aged for three years in ex-Bourbon casks before being bottled at its natural strength.One of 8,000 bottles.",,ex-Bourbon,
5119084,Port Ellen 1981 Moon Import / The Sails in the Wind,1588,2023-10-04,Port Ellen,,Islay,Moon Import,46%,70cl,Closed,"Port Ellen 1981 Moon Import / The Sails in the WindMoon Import was founded by Pepi Mongiardino in 1980 and he bottled his first whisky in 1982. Always beautifully labelled, Pepi is acclaimed for designing the packaging for Moon Import bottles himself, often using images found in old books. These iconic designs, coupled with the quality of the liquid saw Moon Import steadily grow in popularity. The company is still going strong, and their early releases are some of the brightest gems in any whisky collection.The Sails in the Wind was a seven part series released in1993and was remarkable in that five of the seven were bottlingsof Islay distilleries.This Port Ellenwas distilled in 1981, two years before its closure, and matured in hogsheads #1414 and #1415.Port Ellen is the lost jewel in the Islay crown, closed down by DCL (now Diageo) in 1983 due to an oversupply of peated whisky for blending and a perceived lack of interest in it as a single malt. It has developed a legendary status in the years since. A very rare 12 year old bottled for attendees of the visit of Queen Elizabeth II in 1980 is believed to have been the only distillery bottling produced in its years of operation. Diageo have bottled more since, but it is the independent companies that have given the whisky world the best chance to sample this sought after single malt.One of 792 bottles.",1981,2 x Hogsheads,
6182046,Octomore 5.1,186,2023-10-04,Bruichladdich,5 Year Old,Islay,Official,59.5%,70cl,Operational,"Octomore 5.1Octomore is the super-heavily peated single malt produced by Bruichladdich distillery, the most routinely heavily peated in the world. The whisky is named after the farm of the same name, located on a hillside north of the town of Port Charlotte. Having been traditionally an un-peated single malt due to the needs of its former owners for their blends, Murray McDavid were quick to diversify the Bruichladdich portfolio, also introducing the more lightly peated Port Charlotte and Lochindaal.Octomore 5.1 was peated to 169ppm and bottled at 5 years old.",,,
6182047,Chivas Brothers Legend Special Reserve 75cl,130,2023-10-04,,,Scotland,Chivas Brothers,43%,75cl,Operational,"Chivas Brothers Legend Special Reserve 75clA blended Scotch consisting of both very old malt and grain whiskies!The first Chivas Regal blend was launched by Chivas Brothers in 1909, a premium brand that quickly developed a big market in the US. While Prohibition put a temporary halt to its success ten years later, it also allowed Canadian distillers, Seagram, to become the biggest drinks company in North America, and they targeted Chivas Brothers straight away when buying into the Scotch market. They acquired the firm in 1949, adding Strathisla to its portfolio, and building a further three more distilleries. Over the years they also acquired the assets of Campbell Distillers and The Glenlivet Distillers, positioning it as one of the largest whisky companies in Scotland. The Seagram empire eventually collapsed in the early 2000s, with its Chivas Brothers arm picked up by Pernod-Ricard, along with Allied Domecq in a separate acquisition, bringing over the Ballantine's brand. Chivas now produces two of the top three selling blends in the world, and its distillery portfolio, with Glenlivet as its flagship brand, is rivalled only by that of Diageo.Specially produced to commemorate 200th year of Chivas Brothers in 2001.",,,
6182048,Octomore 6.1 Scottish Barley,130,2023-10-04,Bruichladdich,5 Year Old,Islay,Official,57%,70cl,Operational,"Octomore 6.1 Scottish BarleyOctomore is the super-heavily peated single malt produced by Bruichladdich distillery, the most routinely heavily peated in the world. The whisky is named after the farm of the same name, located on a hillside north of the town of Port Charlotte. Having been traditionally an un-peated single malt due to the needs of its former owners for their blends, Murray McDavid were quick to diversify the Bruichladdich portfolio, also introducing the more lightly peated Port Charlotte and Lochindaal.This 5 year old Octomore was distilled from exclusively Scottish barley, peated to 167ppm.",,,
5119114,Botanist Islay Dry Gin,45,2023-10-04,Bruichladdich,,Islay,Official,46%,70cl,Operational,"Botanist Islay Dry GinA small batchgin produced by Bruichladdich distillery containing 22 hand-foraged local botanicals on theScottish island of Islay.Like its island neighbour Bunnahabhain distillery, Bruichladdich has traditionally been an un-peated single malt, mostly owing to its requirements by the blenders who owned it. The last of these was Whyte and Mackay, who eventually shut it down in 1995, deeming it surplus to requirements. They sold the distillery to Murray McDavid in 2001, who launched the peated Port Charlotte and heavily-peated Octomore single malts in 2006 and 2008. A recommissioned Lomond still also now produces the popular Botanist gin there. ",,,
6182049,Colonel E.H. Taylor Single Barrel Bourbon 2015,150,2023-10-04,Buffalo Trace,,"Kentucky, USA",Official,100 US Proof / 50%,75cl,Operational,"Colonel E.H. Taylor Single Barrel Bourbon 2015Edmund Haynes Taylor Jr is considered one of the true bourbon pioneers. Born in 1830, he was orphaned at the age of five and was adopted by his uncle, Edmund Haynes Taylor Snr, who rechristened him as his junior.E.H. Taylor Jr is also referred to as Colonel Taylor due to his holding of the honourary title of Kentucky Colonel, something he shares with a number of state's distinguished sons, most notably a certain fried chicken vendor.Throughout his career, Taylor set up and owned seven different distilleries, and his lobbying for the Bottled in Bond Act of 1897 has seen him considered as ""the father of modern bourbon."" Ten years earlier, having sold his stake in the OFC distillery (now Buffalo Trace), to George T. Stagg, he set up the Old Taylor distillery near Frankfort in Kentucky. The distillery featured a faux-Castle andsunken gardens on-site, and was the birthplace of bourbon tourism. Here he established the Old Taylor brand, which following Prohibition passed into the hands of National Distillers, one of the ""big four"" distilling company's who dominated the post-repeal market. The distillery itself closed in 1972, but production was moved to the neighbouring Old Grand-dad site until National Distillers were acquired by Jim Beam in 1987, who converted it into a warehousing and bottling facility. Beam marketed the brand alongside the other ""Olds"" from the National Distiller portfolio (Old Crow and Old Grand-dad) until 2009 when the Sazerac Company acquired it, returning Taylor's name to his early spiritual home at Buffalo Trace.The Buffalo Trace version of the brand is known as Colonel E.H. Taylor. With the exception of the Barrel Strength releases, they are all Bottled in Bond at the 100 US proof required by the law that Taylor heroically campaigned for.This is a single barrel release from 2015.",,,
6182050,Laphroaig 34 Year Old The Ian Hunter Story Book 4,975,2023-10-04,Laphroaig,34 Year Old,Islay,Official,46.2%,70cl,Operational,"Laphroaig 34Year Old The Ian Hunter Story Book 4Laphroaig is the largest of the three heavyweight Islay distilleries in Kildalton, out-stripping the production capacity of neighbours, Ardbeg and Lagavulin, by over 1 million litres per annum. Despite its traditional appearance, Laphroaig was always a forward-thinking distillery. It was bottled as a single malt as early as the 1920s, an unfashionable option at the time, especially for a peated whisky. They were also shrewd in capitalising on post-Prohibition America to add trademark sweetness to their spirit through the use of imported ex-bourbon casks, and hired Scotland’s first ever female distillery manager, Bessie Williamson, in 1954. Laphroaig is one of only a handful of distilleries in Scotland to still use in-house maltings, providing them with 20% of their annual requirements, and contributing to the distillery’s unique flavour profile.This 34-year-old single malt is part of The Ian Hunter Story, afifteen-part series of rare aged single malts, celebrating chapters in the life of Ian Hunter,the last member of the distillery's founding family. It was aged in a combination of American oak ex-Bourbon casks and European oak first-fill Oloroso Sherry casks.This is Book 4, launched in 2022.",,See Lot Description,
